Genus;Results from;Occurences
ARMATIMONADETES_GENUS;Train Model Adjusted Occurences;1.0000980378650357
SUCCINIVIBRIO;Train Model Adjusted Occurences;2.0009078246570873
RUMINOCLOSTRIDIUM;Train Model Adjusted Occurences;1.4041175823685796
RHIZOBIALES_GENUS;Train Model Adjusted Occurences;9.545891170555132
LYSOBACTER;Train Model Adjusted Occurences;10.378713371469388
METHANOMASSILIICOCCUS;Train Model Adjusted Occurences;12.004869326039302
FILOMICROBIUM;Train Model Adjusted Occurences;1.0040804271956876
TEPIDIMICROBIUM;Train Model Adjusted Occurences;12.41061230588927
BACTEROIDETES_SB-5_GENUS;Train Model Adjusted Occurences;13.077961254707212
CLOSTRIDIUM;Train Model Adjusted Occurences;63.59390036865034
PERSICITALEA;Train Model Adjusted Occurences;2.364053540258458
THERMOBIFIDA;Train Model Adjusted Occurences;0.6142529922147395
GLUCONOBACTER;Train Model Adjusted Occurences;2.451997743962908
ORIBACTERIUM;Train Model Adjusted Occurences;9.535823141347027
FLAVOBACTERIUM;Train Model Adjusted Occurences;36.460117374265096
STREPTOMYCES;Train Model Adjusted Occurences;7.144281869224856
STOMATOBACULUM;Train Model Adjusted Occurences;1.0005685442723427
PAPILLIBACTER;Train Model Adjusted Occurences;11.495053303501589
BREVIBACTERIUM;Train Model Adjusted Occurences;10.00370724196381
TREPONEMA;Train Model Adjusted Occurences;43.45802616342148
ANAEROBACTERIUM;Train Model Adjusted Occurences;97.78771942910245
PSEUDOHONGIELLA;Train Model Adjusted Occurences;3.004953563245116
RIKENELLACEAE_RC9_GUT_GROUP;Train Model Adjusted Occurences;33.48129060904293
RUMINICLOSTRIDIUM;Train Model Adjusted Occurences;91.01358575753983
BACTEROIDES;Train Model Adjusted Occurences;39.468166167954124
DELTAPROTEOBACTERIA_GENUS;Train Model Adjusted Occurences;25.424745542616144
CLOSTRIDIALES_GENUS;Train Model Adjusted Occurences;29.420155370494058
AMORPHUS;Train Model Adjusted Occurences;1.001983909972581
RUBRICOCCUS;Train Model Adjusted Occurences;7.2799859453229665
BHARGAVAEA;Train Model Adjusted Occurences;1.0019866613857153
TURNERIELLA;Train Model Adjusted Occurences;1.000558755155987
RHODOVIBRIO;Train Model Adjusted Occurences;1.004293309832452
CHLOROBIALES_OPB56_GENUS;Train Model Adjusted Occurences;9.452428470599692
PECTINATUS;Train Model Adjusted Occurences;2.0001315011623153
TAONELLA;Train Model Adjusted Occurences;3.001330291583397
METHYLOTENERA;Train Model Adjusted Occurences;2.9329316135133197
TERRIBACILLUS;Train Model Adjusted Occurences;1.000628880983094
BACTEROIDETES_VC2.1_BAC22_GENUS;Train Model Adjusted Occurences;4.001146954277477
ARCICELLA;Train Model Adjusted Occurences;1.0000245120446942
KANGIELLA;Train Model Adjusted Occurences;2.0146084456297473
SYNTROPHOMONAS;Train Model Adjusted Occurences;7.000178343855381
DIPLORICKETTSIA;Train Model Adjusted Occurences;1.3234963089454286
HYDROGENOANAEROBACTERIUM;Train Model Adjusted Occurences;2.7202315397205634
DYSGONOMONAS;Train Model Adjusted Occurences;16.7875832864257
ALLOFUSTIS;Train Model Adjusted Occurences;1.0014463271418996
ELIZABETHKINGIA;Train Model Adjusted Occurences;1.0005520916715696
PEPTOCOCCACEAE_GENUS;Train Model Adjusted Occurences;16.00227405758283
IGNAVIBACTERIUM;Train Model Adjusted Occurences;7.0092517638877
ARMATIMONAS;Train Model Adjusted Occurences;8.69595109760012
ALLOPREVOTELLA;Train Model Adjusted Occurences;18.007186369826396
ANAEROVORAX;Train Model Adjusted Occurences;17.839723384803598
RHODOCYTOPHAGA;Train Model Adjusted Occurences;1.001589355384008
LUTEIBACTER;Train Model Adjusted Occurences;0.009659703963165511
DESULFOCOCCUS;Train Model Adjusted Occurences;5.421626970450635
BARNESIELLA;Train Model Adjusted Occurences;77.00048702032366
DESULFOTOMACULUM;Train Model Adjusted Occurences;17.623656378200316
CLOSTRIDIALES_VADINBB60_GROUP_GENUS;Train Model Adjusted Occurences;55.88769723862405
ACIDITERRIMONAS;Train Model Adjusted Occurences;46.27594214582563
TELMATOBACTER;Train Model Adjusted Occurences;3.001163081607558
BLASTOCATELLA;Train Model Adjusted Occurences;6.384210457109129
HYPHOMICROBIUM;Train Model Adjusted Occurences;9.634364760638652
DOMIBACILLUS;Train Model Adjusted Occurences;0.8790662231488436
MARIVIRGA;Train Model Adjusted Occurences;8.959575876851376
PEDIOCOCCUS;Train Model Adjusted Occurences;9.00751924360667
LUEDEMANNELLA;Train Model Adjusted Occurences;1.0002771542838396
VICTIVALLIS;Train Model Adjusted Occurences;14.392993757348615
FUSIBACTER;Train Model Adjusted Occurences;8.976937402933638
INQUILINUS;Train Model Adjusted Occurences;6.434878182845535
RHODOBIACEAE_GENUS;Train Model Adjusted Occurences;2.001305650898953
ERYSIPELOTHRIX;Train Model Adjusted Occurences;15.002622944630325
TRUEPERELLA;Train Model Adjusted Occurences;2.000276550372786
LYSINIBACILLUS;Train Model Adjusted Occurences;5.992617868207295
ACIDISPHAERA;Train Model Adjusted Occurences;14.111474833713048
SPHINGOBACTERIUM;Train Model Adjusted Occurences;35.099450787752794
HYMENOBACTER;Train Model Adjusted Occurences;6.000543622470309
METHYLOCAPSA;Train Model Adjusted Occurences;0.21827546287415434
STENOTROPHOMONAS;Train Model Adjusted Occurences;5.001414463640607
BACTEROIDETES_GENUS;Train Model Adjusted Occurences;6.544038621165521
THERMOANAEROBACULUM;Train Model Adjusted Occurences;3.244352787192236
ACTINOBACULUM;Train Model Adjusted Occurences;1.5719963216829087
FENOLLARIA;Train Model Adjusted Occurences;1.0000560293262482
GALLIBACTERIUM;Train Model Adjusted Occurences;3.1495944327483367
SEGETIBACTER;Train Model Adjusted Occurences;3.356233280972814
GEMMATIMONAS;Train Model Adjusted Occurences;41.56915521399974
PALUDIBACULUM;Train Model Adjusted Occurences;29.91292808195925
ALLOIOCOCCUS;Train Model Adjusted Occurences;1.0011984414787203
OCEANIBACULUM;Train Model Adjusted Occurences;1.6091871049702666
OLSENELLA;Train Model Adjusted Occurences;6.000843100892325
LACHNOSPIRACEAE_NK3A20_GROUP;Train Model Adjusted Occurences;15.907652638791157
TYZZERELLA;Train Model Adjusted Occurences;28.427664658645696
CROCINITOMIX;Train Model Adjusted Occurences;3.005891220224466
SUCCINATIMONAS;Train Model Adjusted Occurences;2.005816141746986
LABILITHRIX;Train Model Adjusted Occurences;7.018866632864548
OCEANOBACILLUS;Train Model Adjusted Occurences;7.006291419602173
HALOCELLA;Train Model Adjusted Occurences;4.000729543306337
MARINILABIACEAE_GENUS;Train Model Adjusted Occurences;2.0062067244254487
BLAUTIA;Train Model Adjusted Occurences;24.163549613034856
RHODOSPIRILLACEAE_GENUS;Train Model Adjusted Occurences;29.470750134104755
SODALIS;Train Model Adjusted Occurences;2.3055783079503893
THERMOGUTTA;Train Model Adjusted Occurences;2.0064740006546398
ROSEOMONAS;Train Model Adjusted Occurences;14.293005598064301
ANAEROSPOROBACTER;Train Model Adjusted Occurences;3.2296982342750518
PROSTHECOMICROBIUM;Train Model Adjusted Occurences;1.002014386549931
MOBILITALEA;Train Model Adjusted Occurences;13.488326065675809
ARCOBACTER;Train Model Adjusted Occurences;9.511089111430174
LEWINELLA;Train Model Adjusted Occurences;12.62244821759122
HALISCOMENOBACTER;Train Model Adjusted Occurences;12.003904153989016
FLAVONIFRACTOR;Train Model Adjusted Occurences;11.647659915171868
ROSEIFLEXUS;Train Model Adjusted Occurences;7.008988767376277
LUTEOLIBACTER;Train Model Adjusted Occurences;4.7312915219023886
PARASEGETIBACTER;Train Model Adjusted Occurences;2.266079033612232
FCPU426_GENUS;Train Model Adjusted Occurences;1.0020508965347121
DESULFARCULACEAE_GENUS;Train Model Adjusted Occurences;8.014077510034344
SULFUROVUM;Train Model Adjusted Occurences;2.6000778154564266
GEOFILUM;Train Model Adjusted Occurences;1.7738803398010514
CORIOBACTERIACEAE_GENUS;Train Model Adjusted Occurences;42.38809824431183
AERIBACILLUS;Train Model Adjusted Occurences;1.921798836299958
DESULFOMICROBIUM;Train Model Adjusted Occurences;6.626692638608616
LISTERIA;Train Model Adjusted Occurences;8.001336109691227
PARASUTTERELLA;Train Model Adjusted Occurences;6.75381535241791
RICKETTSIALES_GENUS;Train Model Adjusted Occurences;2.0016102290812188
LIMNOCHORDACEAE_GENUS;Train Model Adjusted Occurences;2.0005845038685983
CALORAMATOR;Train Model Adjusted Occurences;6.004317019218595
CALORIBACTERIUM;Train Model Adjusted Occurences;0.7426247146974725
PILIBACTER;Train Model Adjusted Occurences;1.000115396589652
GEOMICROBIUM;Train Model Adjusted Occurences;1.006748823120893
SUTTERELLA;Train Model Adjusted Occurences;2.2970685391569123
TAIBAIELLA;Train Model Adjusted Occurences;11.855724612969496
THIOLAMPROVUM;Train Model Adjusted Occurences;2.0100956968251005
OCEANOSPIRILLACEAE_GENUS;Train Model Adjusted Occurences;2.0004775418046745
ATOPOSTIPES;Train Model Adjusted Occurences;7.00273105682148
SPHINGOMONAS;Train Model Adjusted Occurences;15.881624540706051
LACHNOSPIRACEAE_GENUS;Train Model Adjusted Occurences;156.68028929561981
EUBACTERIUM;Train Model Adjusted Occurences;3.0000577206655086
METHANOSPHAERULA;Train Model Adjusted Occurences;1.000055147980433
LACTOCOCCUS;Train Model Adjusted Occurences;8.602845638326983
COPROBACILLUS;Train Model Adjusted Occurences;5.006170314913463
CHRISTENSENELLA;Train Model Adjusted Occurences;16.502512137748763
GAIELLA;Train Model Adjusted Occurences;29.700190883285536
OXOBACTER;Train Model Adjusted Occurences;10.135171779096758
GEMMATIMONADETES_GENUS;Train Model Adjusted Occurences;21.399793258788588
PHENYLOBACTERIUM;Train Model Adjusted Occurences;1.2922306556460788
LACHNOSPIRACEAE_AC2044_GROUP;Train Model Adjusted Occurences;11.219400990100581
ACETOBACTER;Train Model Adjusted Occurences;10.004258046233872
GASTRANAEROPHILALES_GENUS;Train Model Adjusted Occurences;27.00274943922633
THERMOMONOSPORA;Train Model Adjusted Occurences;1.0000852494043717
MICROCOCCALES_GENUS;Train Model Adjusted Occurences;3.466177051129522
CALDITHRIX;Train Model Adjusted Occurences;8.001616314726599
SOLOBACTERIUM;Train Model Adjusted Occurences;24.115432431479448
ROMBOUTSIA;Train Model Adjusted Occurences;3.000074790670108
LACHNOSPIRACEAE_UCG-005;Train Model Adjusted Occurences;6.945767467749771
DELTAPROTEOBACTERIA_NB1-J_GENUS;Train Model Adjusted Occurences;2.2701475249106737
MELGHIRIBACILLUS;Train Model Adjusted Occurences;0.04222997338127976
PSYCHROBACILLUS;Train Model Adjusted Occurences;1.0045843824284288
BACTEROIDETES_VC2.1_GENUS;Train Model Adjusted Occurences;2.0008235443227678
ACIDOBACTERIACEAE_GENUS;Train Model Adjusted Occurences;19.89962580662276
MARINIMICROBIUM;Train Model Adjusted Occurences;4.001216914090973
SALINISPIRA;Train Model Adjusted Occurences;3.019339536348295
METHYLOBACTERIACEAE_GENUS;Train Model Adjusted Occurences;1.000320695568815
ANAEROLINEACEAE_GENUS;Train Model Adjusted Occurences;5.005299516320334
DESULFOBACTERACEAE_GENUS;Train Model Adjusted Occurences;9.425586465841743
EGGERTHELLA;Train Model Adjusted Occurences;3.0041671268652075
SHUTTLEWORTHIA;Train Model Adjusted Occurences;2.0005694783272836
ENTEROCOCCUS;Train Model Adjusted Occurences;30.242060944504185
PORPHYROMONAS;Train Model Adjusted Occurences;20.000176360776766
ELUSIMICROBIUM;Train Model Adjusted Occurences;10.917555049119303
STREPTOSPORANGIALES_GENUS;Train Model Adjusted Occurences;0.0004896815582452629
EMPEDOBACTER;Train Model Adjusted Occurences;4.028633703434592
RUBROBACTER;Train Model Adjusted Occurences;3.0019657108440283
THERMACETOGENIUM;Train Model Adjusted Occurences;1.005697743288697
RIKENELLACEAE_M2PB4-61;Train Model Adjusted Occurences;1.0000050029322933
CALDIBACILLUS;Train Model Adjusted Occurences;1.002589067381198
GARCIELLA;Train Model Adjusted Occurences;3.000115720748652
COPROCOCCUS;Train Model Adjusted Occurences;5.224111471354803
PSEUDOFLAVONIFRACTOR;Train Model Adjusted Occurences;6.000372453826898
AGGREGATIBACTER;Train Model Adjusted Occurences;2.2338539745815806
SYNTROPHOTHERMUS_GENUS;Train Model Adjusted Occurences;3.004978314098825
EXIGUOBACTERIUM;Train Model Adjusted Occurences;3.72302665558372
EHRLICHIA;Train Model Adjusted Occurences;4.03125720185329
ROSEOCOCCUS;Train Model Adjusted Occurences;3.0297006175714944
CELLULOSILYTICUM;Train Model Adjusted Occurences;7.638263890206446
CLOACIMONETES_FGL12-B44_GENUS;Train Model Adjusted Occurences;2.005723557372299
[EUBACTERIUM]_SAPHENUM_GROUP;Train Model Adjusted Occurences;18.806370911638545
SELENOMONAS;Train Model Adjusted Occurences;13.267972283050728
GORDONIBACTER;Train Model Adjusted Occurences;3.6861786591391152
PARACOCCUS;Train Model Adjusted Occurences;8.001493954491888
FUSOBACTERIUM;Train Model Adjusted Occurences;6.000063830044695
OLIGOFLEXACEAE_GENUS;Train Model Adjusted Occurences;4.001463959585275
RHODOFERAX;Train Model Adjusted Occurences;1.477885049577769
PELOTOMACULUM;Train Model Adjusted Occurences;6.173157476975864
SPHAEROCHAETA;Train Model Adjusted Occurences;6.413734415859794
ALLOSCARDOVIA;Train Model Adjusted Occurences;1.2757210122224674
[EUBACTERIUM]_VENTRIOSUM_GROUP;Train Model Adjusted Occurences;5.348734889082499
[EUBACTERIUM]_ELIGENS_GROUP;Train Model Adjusted Occurences;3.0106431055628438
PLANCTOMYCETACEAE_GENUS;Train Model Adjusted Occurences;7.7667219902306055
VIBRIO;Train Model Adjusted Occurences;8.001829872354453
BACTEROIDETES_VADINHA17_GENUS;Train Model Adjusted Occurences;14.002997808280643
PARACRAUROCOCCUS;Train Model Adjusted Occurences;1.0000509951712113
PSEUDOALTEROMONAS;Train Model Adjusted Occurences;5.0022012872219825
REHAIBACTERIUM;Train Model Adjusted Occurences;1.6061518387029077
AGITOCOCCUS;Train Model Adjusted Occurences;1.003916688001897
SPOROBACTERIUM;Train Model Adjusted Occurences;1.0012604343276328
LACHNOSPIRACEAE_UCG-004;Train Model Adjusted Occurences;10.18249663916992
ROSEBURIA;Train Model Adjusted Occurences;9.403005130690387
CATENISPHAERA;Train Model Adjusted Occurences;41.00982474009682
FERRITROPHICUM;Train Model Adjusted Occurences;1.1676929185694394
TISTLIA;Train Model Adjusted Occurences;1.000472645506542
PIRELLULA;Train Model Adjusted Occurences;4.008335089322893
CHLOROFLEXI_TK10_GENUS;Train Model Adjusted Occurences;19.677587279859686
GRACILIBACTERIA_GENUS;Train Model Adjusted Occurences;8.01199348097699
SANDARACINUS;Train Model Adjusted Occurences;16.660415981748116
SPOROBACTER;Train Model Adjusted Occurences;40.67402543530278
FLAVISOLIBACTER;Train Model Adjusted Occurences;5.007057840512635
GLUCONACETOBACTER;Train Model Adjusted Occurences;2.444414219277571
AERISCARDOVIA;Train Model Adjusted Occurences;1.0034089085537923
AZOVIBRIO;Train Model Adjusted Occurences;1.0009506077270294
THERMOGYMNOMONAS;Train Model Adjusted Occurences;1.7298828710320395
HYDROGENISPORA;Train Model Adjusted Occurences;10.314450145562747
BACILLACEAE_GENUS;Train Model Adjusted Occurences;1.0090411691170722
TERRIGLOBUS;Train Model Adjusted Occurences;1.4593997309966407
CALDILINEA;Train Model Adjusted Occurences;11.86872040088313
PARCUBACTERIA_GENUS;Train Model Adjusted Occurences;2.0003022086619926
AMARICOCCUS;Train Model Adjusted Occurences;10.743753222575611
PORTIBACTER;Train Model Adjusted Occurences;11.37912545053474
HYDROGENOPHAGA;Train Model Adjusted Occurences;2.000252834790417
EUZEBYA;Train Model Adjusted Occurences;3.000864201526479
PLEOMORPHOBACTERIUM;Train Model Adjusted Occurences;5.501912894015592
MYCOPLASMA;Train Model Adjusted Occurences;17.00012727727409
REYRANELLA;Train Model Adjusted Occurences;3.2626355395496685
GLOBICATELLA;Train Model Adjusted Occurences;2.000467505982145
VERTICA;Train Model Adjusted Occurences;1.0074500824091253
VERTICIA;Train Model Adjusted Occurences;0.15512662707470035
SPHINGOBIUM;Train Model Adjusted Occurences;5.002004151739955
VIRGISPORANGIUM;Train Model Adjusted Occurences;1.0001983106559913
ETHANOLIGENENS;Train Model Adjusted Occurences;1.0186915238699765
EUBACTERIACEAE_GENUS;Train Model Adjusted Occurences;1.0004592746974792
MUCILAGINIBACTER;Train Model Adjusted Occurences;13.500921711297922
ALKANINDIGES;Train Model Adjusted Occurences;2.784107100838897
SACCHARIBACTERIA_GENUS;Train Model Adjusted Occurences;7.709003317292211
HALOBACTERIOVORAX;Train Model Adjusted Occurences;3.6152910597931776
ARIDIBACTER;Train Model Adjusted Occurences;9.001250748816187
WOLBACHIA;Train Model Adjusted Occurences;1.0021352853262337
HESPELLIA;Train Model Adjusted Occurences;1.2981482870438033
SERRATIA;Train Model Adjusted Occurences;9.356120007306842
PHYCICOCCUS;Train Model Adjusted Occurences;3.765190795924314
LEADBETTERELLA;Train Model Adjusted Occurences;1.0000334741681418
PORPHYROMONADACEAE_GENUS;Train Model Adjusted Occurences;2.0004551757324585
PLEOMORPHOMONAS;Train Model Adjusted Occurences;3.0034631502182014
GEOTHRIX;Train Model Adjusted Occurences;29.772322858350645
LACHNOSPIRACEAE_NK4A136_GROUP;Train Model Adjusted Occurences;24.890317494642172
DESULFOVIBRIO;Train Model Adjusted Occurences;30.798157705783936
ALPHAPROTEOBACTERIA_GENUS;Train Model Adjusted Occurences;13.458231919694272
LUTEIMONAS;Train Model Adjusted Occurences;4.000377144570845
PARVULARCULA;Train Model Adjusted Occurences;8.563979150681254
DESULFOBACTERIUM;Train Model Adjusted Occurences;2.0812722641199297
CATELLATOSPORA;Train Model Adjusted Occurences;6.8507491743418045
SPHINGOPYXIS;Train Model Adjusted Occurences;5.000078258552858
OCEANISPHAERA;Train Model Adjusted Occurences;1.0555823231766364
SYNTROPHOBACTER;Train Model Adjusted Occurences;9.56108086653073
OLIGOFLEXALES_0319-6G20_GENUS;Train Model Adjusted Occurences;11.00213113427975
DIETZIA;Train Model Adjusted Occurences;3.001370659992375
LACHNOCLOSTRIDIUM;Train Model Adjusted Occurences;61.62148589085751
DESULFATIGLANS;Train Model Adjusted Occurences;9.000735113230443
METHYLOBACTERIUM;Train Model Adjusted Occurences;3.005811274701131
BACTEROIDALES_GENUS;Train Model Adjusted Occurences;6.001094687446569
VAGOCOCCUS;Train Model Adjusted Occurences;5.493793979045339
DESULFOBULBUS;Train Model Adjusted Occurences;14.505624733186512
DEFERRIBACTERES_GENUS;Train Model Adjusted Occurences;22.787329610250673
SPIROCHAETA;Train Model Adjusted Occurences;18.643162599560046
DEHALOCOCCOIDES;Train Model Adjusted Occurences;13.908449174725737
AMYCOLATOPSIS;Train Model Adjusted Occurences;2.0000265814233344
ALIIFODINIBIUS;Train Model Adjusted Occurences;6.675489256774367
COPROBACTER;Train Model Adjusted Occurences;7.000301811235578
ACIDOBACTERIA_GENUS;Train Model Adjusted Occurences;1.0006680239567765
ACTINOMYCES;Train Model Adjusted Occurences;26.616605506932128
ACETIVIBRIO_ETHANOLGIGNENS_GROUP;Train Model Adjusted Occurences;12.014722051634067
VULCANIIBACTERIUM;Train Model Adjusted Occurences;1.0006764939320365
LATESCIBACTERIA_GENUS;Train Model Adjusted Occurences;18.72348212786391
CAMPYLOBACTER;Train Model Adjusted Occurences;10.218725344774715
DERXIA;Train Model Adjusted Occurences;4.289424448145815
BACTEROIDIA_GENUS;Train Model Adjusted Occurences;9.464129193702316
METHANOBREVIBACTER;Train Model Adjusted Occurences;8.000767041516204
YERSINIA;Train Model Adjusted Occurences;5.489010385106736
CAMELIMONAS;Train Model Adjusted Occurences;2.011256641882719
RHODOCYCLACEAE_GENUS;Train Model Adjusted Occurences;8.275501381396081
MARINOBACTER;Train Model Adjusted Occurences;6.413323234091455
SEDIMINIBACTERIUM;Train Model Adjusted Occurences;9.375921619624282
FRANKIALES_GENUS;Train Model Adjusted Occurences;6.988076040009228
BRC1_GENUS;Train Model Adjusted Occurences;7.1707876060398625
ANCALOMICROBIUM;Train Model Adjusted Occurences;0.6698211532784466
ANAEROBACULUM;Train Model Adjusted Occurences;4.449343616526934
[EUBACTERIUM]_YURII_GROUP;Train Model Adjusted Occurences;4.754540897336466
AGROCOCCUS;Train Model Adjusted Occurences;4.4086247927392196e-05
CRONOBACTER;Train Model Adjusted Occurences;4.706007999522149
CAULOBACTER;Train Model Adjusted Occurences;4.002832263845593
ACETIVIBRIO;Train Model Adjusted Occurences;1.0002828524396392
IGNAVIBACTERIALES_SM1H02_GENUS;Train Model Adjusted Occurences;1.0013639950815112
CALDERIHABITANS;Train Model Adjusted Occurences;1.0001262342807875
HELIOBACILLUS;Train Model Adjusted Occurences;1.000407298130392
MEIOTHERMUS;Train Model Adjusted Occurences;1.0002336537668852
CASTELLANIELLA;Train Model Adjusted Occurences;0.15313635326989128
PROMICROMONOSPORA;Train Model Adjusted Occurences;2.306361316756463
ACIDIPHILIUM;Train Model Adjusted Occurences;8.001857229521836
ACETOBACTERACEAE_GENUS;Train Model Adjusted Occurences;4.744360419693634
FULVIVIRGA;Train Model Adjusted Occurences;2.000061701846316
LEEIA;Train Model Adjusted Occurences;1.0012367063807066
DEFLUVIIMONAS;Train Model Adjusted Occurences;3.000460865966497
SACCHAROTHRIX;Train Model Adjusted Occurences;0.634842245840388
MEGANEMA;Train Model Adjusted Occurences;2.0002742227434145
CRYOMORPHA;Train Model Adjusted Occurences;1.412099784003592
[EUBACTERIUM]_RUMINANTIUM_GROUP;Train Model Adjusted Occurences;7.00121140694421
AZOSPIRILLUM;Train Model Adjusted Occurences;6.008387035424409
THERMOVENABULUM;Train Model Adjusted Occurences;1.0007171442301495
DESULFOSARCINA;Train Model Adjusted Occurences;3.0659826201317952
MARIHABITANS;Train Model Adjusted Occurences;1.000003389247869
MARINOSCILLUM;Train Model Adjusted Occurences;3.000183963588692
GEOBACILLUS;Train Model Adjusted Occurences;0.004478833393252496
TREPONEMA_;Train Model Adjusted Occurences;1.000387401300487
HYPHOMONAS;Train Model Adjusted Occurences;1.370230094572447
HALOBACTERIUM;Train Model Adjusted Occurences;2.000933409357046
OWENWEEKSIA;Train Model Adjusted Occurences;5.000356718697725
SMITHELLA;Train Model Adjusted Occurences;3.000760716134542
AMNIBACTERIUM;Train Model Adjusted Occurences;1.0000385914359913
AESTUARIISPIRA;Train Model Adjusted Occurences;0.6086778005763883
SALINICOCCUS;Train Model Adjusted Occurences;7.063566846857041
DESULFUROCOCCACEAE_GENUS;Train Model Adjusted Occurences;1.001269212019057
SNEATHIA;Train Model Adjusted Occurences;4.944660973717549
SALINISPHAERACEAE_GENUS;Train Model Adjusted Occurences;2.0006195016602852
THIOALKALISPIRACEAE_GENUS;Train Model Adjusted Occurences;3.697123878091641
GLOEOCAPSA;Train Model Adjusted Occurences;1.0024993269987594
DEFLUVIITALEACEAE_GENUS;Train Model Adjusted Occurences;7.299453230227738
AFIFELLA;Train Model Adjusted Occurences;1.0009370580529875
PARABACTEROIDES;Train Model Adjusted Occurences;12.000587106150391
HANSSCHLEGELIA;Train Model Adjusted Occurences;2.021996098630818
CELLULOSIBACTER;Train Model Adjusted Occurences;5.658420807654948
NESTERENKONIA;Train Model Adjusted Occurences;5.739706503427492
CRYOMORPHACEAE_GENUS;Train Model Adjusted Occurences;6.003043591155741
PILIMELIA;Train Model Adjusted Occurences;1.0000858981789678
CATELLICOCCUS;Train Model Adjusted Occurences;2.009545374968994
PLANCTOMYCETACIA_GENUS;Train Model Adjusted Occurences;1.0004004204788974
KLUYVERA;Train Model Adjusted Occurences;0.16994182469257435
FERRIMICROBIUM;Train Model Adjusted Occurences;2.000556524421851
STELLA;Train Model Adjusted Occurences;9.82914544615435
MARINOBACTERIUM;Train Model Adjusted Occurences;6.001836558522567
ARMATIMONADACEAE_GENUS;Train Model Adjusted Occurences;4.007311867901256
DESULFOFUSTIS;Train Model Adjusted Occurences;1.5060698401586667
ZHONGSHANIA;Train Model Adjusted Occurences;1.325879162159311
GEOBACTER;Train Model Adjusted Occurences;12.421035504264202
TUMEBACILLUS;Train Model Adjusted Occurences;2.000252934750231
GEMELLA;Train Model Adjusted Occurences;2.000978475499128
GEMMIGER;Train Model Adjusted Occurences;8.118841546128891
NOCARDIOIDES;Train Model Adjusted Occurences;34.00021219363559
GORDONIA;Train Model Adjusted Occurences;5.437067575883597
PARAPREVOTELLA;Train Model Adjusted Occurences;11.00297352791543
THERMOSYNTROPHA;Train Model Adjusted Occurences;1.0003792592280476
AMINICELLA;Train Model Adjusted Occurences;6.232831578726337
OCHROBACTRUM;Train Model Adjusted Occurences;4.001568971850411
MELGHIRIMYCES;Train Model Adjusted Occurences;4.000387076593506
MYCOBACTERIUM;Train Model Adjusted Occurences;7.000187372238512
THERMUS;Train Model Adjusted Occurences;1.0000629406724006
MORYELLA;Train Model Adjusted Occurences;1.0025004740537746
AESTUARIIBACTER;Train Model Adjusted Occurences;2.0060957728856312
CARBOXYDOCELLA;Train Model Adjusted Occurences;1.0015300700516503
ACTINOTIGNUM;Train Model Adjusted Occurences;2.649630151801132
THERMOTALEA;Train Model Adjusted Occurences;1.2156490201476637
AMYLIBACTER;Train Model Adjusted Occurences;1.0008583422444315
DESULFOBOTULUS;Train Model Adjusted Occurences;1.0841019978088426
TELMATOCOLA;Train Model Adjusted Occurences;1.0001657421212944
THERMOTOGA;Train Model Adjusted Occurences;1.0044687017037777
PEPTONIPHILUS;Train Model Adjusted Occurences;15.538774973497782
SPIROPLASMA;Train Model Adjusted Occurences;5.001948483541696
MARINILABILIA;Train Model Adjusted Occurences;1.0001492336619358
MEGASPHAERA;Train Model Adjusted Occurences;5.000735883810961
ADHAERIBACTER;Train Model Adjusted Occurences;2.0032014108821867
ALKALISPIROCHAETA;Train Model Adjusted Occurences;3.0058273449314785
THIOBACILLUS;Train Model Adjusted Occurences;2.001302434216478
SUCCINICLASTICUM;Train Model Adjusted Occurences;4.000415694176917
METHANOSPIRILLUM;Train Model Adjusted Occurences;3.0011204627895034
MARINIFILUM;Train Model Adjusted Occurences;3.0197763891683413
CALDANAEROBIUS;Train Model Adjusted Occurences;0.003434167596780814
CALDITERRICOLA;Train Model Adjusted Occurences;1.0029243577907334
AGROMYCES;Train Model Adjusted Occurences;2.6190660622441264
DESULFOPILA;Train Model Adjusted Occurences;2.000630734207427
THERMAEROBACTER;Train Model Adjusted Occurences;1.0003021328987336
THERMINCOLA;Train Model Adjusted Occurences;1.0037294855583205
PSEUDOBACTERIOVORAX;Train Model Adjusted Occurences;3.0395462008072602
ROSEIARCUS;Train Model Adjusted Occurences;2.00023451390844
CITROBACTER;Train Model Adjusted Occurences;2.5855342848147913
EZAKIELLA;Train Model Adjusted Occurences;2.002763555387837
AKKERMANSIA;Train Model Adjusted Occurences;4.000156669876135
ACTINOBACTERIA_GENUS;Train Model Adjusted Occurences;11.280014322507839
SPOROCYTOPHAGA;Train Model Adjusted Occurences;6.00007727552261
XANTHOMONADALES_GENUS;Train Model Adjusted Occurences;1.0013917438391116
ACTINOCATENISPORA;Train Model Adjusted Occurences;1.0060489824896324
ACTINOCORALLIA;Train Model Adjusted Occurences;1.0087814335992435
RUBELLIMICROBIUM;Train Model Adjusted Occurences;5.005976436853301
GEOVIBRIO;Train Model Adjusted Occurences;1.019552103542864
STEROIDOBACTER;Train Model Adjusted Occurences;7.006402036501268
HALOMONAS;Train Model Adjusted Occurences;9.383955791483073
PROTEINICLASTICUM;Train Model Adjusted Occurences;4.000293132856671
OCEANIVIRGA;Train Model Adjusted Occurences;0.33339505473605646
